Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2019;6.380
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2018;6.905
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2017;6.085
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2016;4.874
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2015;4.035
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2014;2.878
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2013;2.474
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2012;3.022
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2011;4.408
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2010;4.947
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2009;4.124
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2008;7.364
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda usada;2007;10.709
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2021;8.116
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2020;6.473
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2019;6.896
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2018;7.391
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2017;6.416
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2016;5.170
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2015;4.412
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2014;3.911
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2013;3.895
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2012;4.732
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2011;5.967
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2010;8.213
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2009;7.928
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2008;11.785
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda libre;2007;15.184
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2021;1.301
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2020;1.154
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2019;1.441
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2018;1.534
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2017;1.424
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2016;1.244
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2015;1.097
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2014;986
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2013;1.035
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2012;1.879
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2011;1.960
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2010;1.594
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2009;888
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2008;1.632
Total Nacional;03 Asturias, Principado de;33 Asturias;Vivienda protegida;2007;2.493
Total Nacional;04 Balears, Illes;;Viviendas: Total;2021;14.146
Total Nacional;04 Balears, Illes;;Viviendas: Total;2020;10.684
Total Nacional;04 Balears, Illes;;Viviendas: Total;2019;13.925
Total Nacional;04 Balears, Illes;;Viviendas: Total;2018;15.665
Total Nacional;04 Balears, Illes;;Viviendas: Total;2017;15.893
Total Nacional;04 Balears, Illes;;Viviendas: Total;2016;13.820
Total Nacional;04 Balears, Illes;;Viviendas: Total;2015;10.603
Total Nacional;04 Balears, Illes;;Viviendas: Total;2014;9.251
Total Nacional;04 Balears, Illes;;Viviendas: Total;2013;7.831
Total Nacional;04 Balears, Illes;;Viviendas: Total;2012;7.930
Total Nacional;04 Balears, Illes;;Viviendas: Total;2011;8.228
Total Nacional;04 Balears, Illes;;Viviendas: Total;2010;9.784
Total Nacional;04 Balears, Illes;;Viviendas: Total;2009;8.186
Total Nacional;04 Balears, Illes;;Viviendas: Total;2008;12.366
Total Nacional;04 Balears, Illes;;Viviendas: Total;2007;20.498
Total Nacional;04 Balears, Illes;;Vivienda nueva;2021;2.450
Total Nacional;04 Balears, Illes;;Vivienda nueva;2020;1.993
Total Nacional;04 Balears, Illes;;Vivienda nueva;2019;2.555
Total Nacional;04 Balears, Illes;;Vivienda nueva;2018;2.701
Total Nacional;04 Balears, Illes;;Vivienda nueva;2017;2.731
Total Nacional;04 Balears, Illes;;Vivienda nueva;2016;2.924
Total Nacional;04 Balears, Illes;;Vivienda nueva;2015;2.307
Total Nacional;04 Balears, Illes;;Vivienda nueva;2014;3.553
Total Nacional;04 Balears, Illes;;Vivienda nueva;2013;3.732
Total Nacional;04 Balears, Illes;;Vivienda nueva;2012;3.796
Total Nacional;04 Balears, Illes;;Vivienda nueva;2011;3.810
Total Nacional;04 Balears, Illes;;Vivienda nueva;2010;5.027
Total Nacional;04 Balears, Illes;;Vivienda nueva;2009;4.476
Total Nacional;04 Balears, Illes;;Vivienda nueva;2008;6.987
Total Nacional;04 Balears, Illes;;Vivienda nueva;2007;9.632
Total Nacional;04 Balears, Illes;;Vivienda usada;2021;11.696
Total Nacional;04 Balears, Illes;;Vivienda usada;2020;8.691
Total Nacional;04 Balears, Illes;;Vivienda usada;2019;11.370
Total Nacional;04 Balears, Illes;;Vivienda usada;2018;12.964
Total Nacional;04 Balears, Illes;;Vivienda usada;2017;13.162
Total Nacional;04 Balears, Illes;;Vivienda usada;2016;10.896
Total Nacional;04 Balears, Illes;;Vivienda usada;2015;8.296
Total Nacional;04 Balears, Illes;;Vivienda usada;2014;5.698
Total Nacional;04 Balears, Illes;;Vivienda usada;2013;4.099
Total Nacional;04 Balears, Illes;;Vivienda usada;2012;4.134
Total Nacional;04 Balears, Illes;;Vivienda usada;2011;4.418
Total Nacional;04 Balears, Illes;;Vivienda usada;2010;4.757
Total Nacional;04 Balears, Illes;;Vivienda usada;2009;3.710
Total Nacional;04 Balears, Illes;;Vivienda usada;2008;5.379
Total Nacional;04 Balears, Illes;;Vivienda usada;2007;10.866
Total Nacional;04 Balears, Illes;;Vivienda libre;2021;13.891
Total Nacional;04 Balears, Illes;;Vivienda libre;2020;10.505
Total Nacional;04 Balears, Illes;;Vivienda libre;2019;13.584
Total Nacional;04 Balears, Illes;;Vivienda libre;2018;15.273
Total Nacional;04 Balears, Illes;;Vivienda libre;2017;15.493
Total Nacional;04 Balears, Illes;;Vivienda libre;2016;13.543
Total Nacional;04 Balears, Illes;;Vivienda libre;2015;10.372
Total Nacional;04 Balears, Illes;;Vivienda libre;2014;9.023
Total Nacional;04 Balears, Illes;;Vivienda libre;2013;7.651
Total Nacional;04 Balears, Illes;;Vivienda libre;2012;7.706
Total Nacional;04 Balears, Illes;;Vivienda libre;2011;7.826
Total Nacional;04 Balears, Illes;;Vivienda libre;2010;9.422
Total Nacional;04 Balears, Illes;;Vivienda libre;2009;7.888
Total Nacional;04 Balears, Illes;;Vivienda libre;2008;12.065
Total Nacional;04 Balears, Illes;;Vivienda libre;2007;19.773
Total Nacional;04 Balears, Illes;;Vivienda protegida;2021;255
Total Nacional;04 Balears, Illes;;Vivienda protegida;2020;179
Total Nacional;04 Balears, Illes;;Vivienda protegida;2019;341
Total Nacional;04 Balears, Illes;;Vivienda protegida;2018;392
Total Nacional;04 Balears, Illes;;Vivienda protegida;2017;400
Total Nacional;04 Balears, Illes;;Vivienda protegida;2016;277
Total Nacional;04 Balears, Illes;;Vivienda protegida;2015;231
Total Nacional;04 Balears, Illes;;Vivienda protegida;2014;228
Total Nacional;04 Balears, Illes;;Vivienda protegida;2013;180
Total Nacional;04 Balears, Illes;;Vivienda protegida;2012;224
Total Nacional;04 Balears, Illes;;Vivienda protegida;2011;402
Total Nacional;04 Balears, Illes;;Vivienda protegida;2010;362
Total Nacional;04 Balears, Illes;;Vivienda protegida;2009;298
Total Nacional;04 Balears, Illes;;Vivienda protegida;2008;301
Total Nacional;04 Balears, Illes;;Vivienda protegida;2007;725
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2021;14.146
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2020;10.684
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2019;13.925
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2018;15.665
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2017;15.893
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2016;13.820
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2015;10.603
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2014;9.251
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2013;7.831
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2012;7.930
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2011;8.228
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2010;9.784
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2009;8.186
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2008;12.366
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2007;20.498
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2021;2.450
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2020;1.993
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2019;2.555
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2018;2.701
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2017;2.731
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2016;2.924
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2015;2.307
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2014;3.553
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2013;3.732
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2012;3.796
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2011;3.810
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2010;5.027
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2009;4.476
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2008;6.987
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda nueva;2007;9.632
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2021;11.696
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2020;8.691
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2019;11.370
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2018;12.964
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2017;13.162
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2016;10.896
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2015;8.296
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2014;5.698
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2013;4.099
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2012;4.134
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2011;4.418
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2010;4.757
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2009;3.710
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2008;5.379
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda usada;2007;10.866
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2021;13.891
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2020;10.505
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2019;13.584
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2018;15.273
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2017;15.493
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2016;13.543
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2015;10.372
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2014;9.023
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2013;7.651
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2012;7.706
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2011;7.826
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2010;9.422
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2009;7.888
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2008;12.065
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda libre;2007;19.773
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2021;255
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2020;179
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2019;341
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2018;392
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2017;400
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2016;277
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2015;231
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2014;228
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2013;180
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2012;224
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2011;402
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2010;362
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2009;298
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2008;301
Total Nacional;04 Balears, Illes;07 Balears, Illes;Vivienda protegida;2007;725
Total Nacional;05 Canarias;;Viviendas: Total;2021;20.666
Total Nacional;05 Canarias;;Viviendas: Total;2020;16.939
Total Nacional;05 Canarias;;Viviendas: Total;2019;21.316
Total Nacional;05 Canarias;;Viviendas: Total;2018;24.224
Total Nacional;05 Canarias;;Viviendas: Total;2017;23.074
Total Nacional;05 Canarias;;Viviendas: Total;2016;20.702
Total Nacional;05 Canarias;;Viviendas: Total;2015;18.454
Total Nacional;05 Canarias;;Viviendas: Total;2014;17.142
Total Nacional;05 Canarias;;Viviendas: Total;2013;15.518
Total Nacional;05 Canarias;;Viviendas: Total;2012;14.300
Total Nacional;05 Canarias;;Viviendas: Total;2011;15.520
Total Nacional;05 Canarias;;Viviendas: Total;2010;17.114
Total Nacional;05 Canarias;;Viviendas: Total;2009;18.352
Total Nacional;05 Canarias;;Viviendas: Total;2008;25.326
Total Nacional;05 Canarias;;Viviendas: Total;2007;32.103
Total Nacional;05 Canarias;;Vivienda nueva;2021;4.842
Total Nacional;05 Canarias;;Vivienda nueva;2020;3.423
Total Nacional;05 Canarias;;Vivienda nueva;2019;4.510
Total Nacional;05 Canarias;;Vivienda nueva;2018;5.252
Total Nacional;05 Canarias;;Vivienda nueva;2017;4.736
Total Nacional;05 Canarias;;Vivienda nueva;2016;4.430
Total Nacional;05 Canarias;;Vivienda nueva;2015;4.298
Total Nacional;05 Canarias;;Vivienda nueva;2014;7.230
Total Nacional;05 Canarias;;Vivienda nueva;2013;8.412
Total Nacional;05 Canarias;;Vivienda nueva;2012;8.017
Total Nacional;05 Canarias;;Vivienda nueva;2011;8.818
Total Nacional;05 Canarias;;Vivienda nueva;2010;9.851
Total Nacional;05 Canarias;;Vivienda nueva;2009;10.295
Total Nacional;05 Canarias;;Vivienda nueva;2008;14.520
Total Nacional;05 Canarias;;Vivienda nueva;2007;16.118
Total Nacional;05 Canarias;;Vivienda usada;2021;15.824
Total Nacional;05 Canarias;;Vivienda usada;2020;13.516
Total Nacional;05 Canarias;;Vivienda usada;2019;16.806
Total Nacional;05 Canarias;;Vivienda usada;2018;18.972
Total Nacional;05 Canarias;;Vivienda usada;2017;18.338
Total Nacional;05 Canarias;;Vivienda usada;2016;16.272
Total Nacional;05 Canarias;;Vivienda usada;2015;14.156
Total Nacional;05 Canarias;;Vivienda usada;2014;9.912
Total Nacional;05 Canarias;;Vivienda usada;2013;7.106
Total Nacional;05 Canarias;;Vivienda usada;2012;6.283
Total Nacional;05 Canarias;;Vivienda usada;2011;6.702
Total Nacional;05 Canarias;;Vivienda usada;2010;7.263
Total Nacional;05 Canarias;;Vivienda usada;2009;8.057
Total Nacional;05 Canarias;;Vivienda usada;2008;10.806
Total Nacional;05 Canarias;;Vivienda usada;2007;15.985
Total Nacional;05 Canarias;;Vivienda libre;2021;19.721
Total Nacional;05 Canarias;;Vivienda libre;2020;16.271
Total Nacional;05 Canarias;;Vivienda libre;2019;20.006
Total Nacional;05 Canarias;;Vivienda libre;2018;23.120
Total Nacional;05 Canarias;;Vivienda libre;2017;22.015
Total Nacional;05 Canarias;;Vivienda libre;2016;19.636
Total Nacional;05 Canarias;;Vivienda libre;2015;17.804
Total Nacional;05 Canarias;;Vivienda libre;2014;16.465
Total Nacional;05 Canarias;;Vivienda libre;2013;14.740
Total Nacional;05 Canarias;;Vivienda libre;2012;13.269
Total Nacional;05 Canarias;;Vivienda libre;2011;13.852
Total Nacional;05 Canarias;;Vivienda libre;2010;15.443
Total Nacional;05 Canarias;;Vivienda libre;2009;16.625
Total Nacional;05 Canarias;;Vivienda libre;2008;23.656
Total Nacional;05 Canarias;;Vivienda libre;2007;29.829
Total Nacional;05 Canarias;;Vivienda protegida;2021;945
Total Nacional;05 Canarias;;Vivienda protegida;2020;668
Total Nacional;05 Canarias;;Vivienda protegida;2019;1.310
Total Nacional;05 Canarias;;Vivienda protegida;2018;1.104
Total Nacional;05 Canarias;;Vivienda protegida;2017;1.059
Total Nacional;05 Canarias;;Vivienda protegida;2016;1.066
Total Nacional;05 Canarias;;Vivienda protegida;2015;650
Total Nacional;05 Canarias;;Vivienda protegida;2014;677
Total Nacional;05 Canarias;;Vivienda protegida;2013;778
Total Nacional;05 Canarias;;Vivienda protegida;2012;1.031
Total Nacional;05 Canarias;;Vivienda protegida;2011;1.668
Total Nacional;05 Canarias;;Vivienda protegida;2010;1.671
Total Nacional;05 Canarias;;Vivienda protegida;2009;1.727
Total Nacional;05 Canarias;;Vivienda protegida;2008;1.670
Total Nacional;05 Canarias;;Vivienda protegida;2007;2.274
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2021;11.004
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2020;8.637
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2019;11.087
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2018;12.466
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2017;11.761
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2016;11.255
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2015;10.338
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2014;8.927
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2013;8.276
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2012;7.424
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2011;8.218
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2010;8.836
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2009;10.200
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2008;13.441
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2007;13.141
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2021;2.784
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2020;1.856
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2019;2.406
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2018;2.517
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2017;2.481
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2016;2.490
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2015;2.292
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2014;3.699
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2013;4.633
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2012;4.185
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2011;4.713
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2010;4.913
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2009;5.257
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2008;7.401
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda nueva;2007;6.721
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2021;8.220
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2020;6.781
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2019;8.681
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2018;9.949
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2017;9.280
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2016;8.765
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2015;8.046
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2014;5.228
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2013;3.643
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2012;3.239
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2011;3.505
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2010;3.923
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2009;4.943
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2008;6.040
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda usada;2007;6.420
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2021;10.582
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2020;8.315
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2019;10.628
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2018;11.895
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2017;11.176
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2016;10.545
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2015;9.952
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2014;8.517
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2013;7.825
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2012;6.904
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2011;7.230
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2010;7.954
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2009;9.086
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2008;12.637
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda libre;2007;12.428
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2021;422
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2020;322
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2019;459
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2018;571
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2017;585
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2016;710
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2015;386
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2014;410
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2013;451
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2012;520
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2011;988
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2010;882
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2009;1.114
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2008;804
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2007;713
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2021;9.662
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2020;8.302
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2019;10.229
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2018;11.758
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2017;11.313
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2016;9.447
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2015;8.116
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2014;8.215
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2013;7.242
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2012;6.876
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2011;7.302
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2010;8.278
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2009;8.152
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2008;11.885
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2007;18.962
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2021;2.058
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2020;1.567
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2019;2.104
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2018;2.735
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2017;2.255
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2016;1.940
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2015;2.006
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2014;3.531
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2013;3.779
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2012;3.832
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2011;4.105
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2010;4.938
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2009;5.038
